chip core only\ca\190801\1137294\101843658.html,Bear Hotel,"""Stayed at this pub\u002FB&B in March as a last minute.\n\nThe proprietor was very helpful in discussing parking etc.\n\nWhen I arrived, although I was on the top floor with many steps, the lady of the house kindly carried my luggage to the room.\n\nI asked about food, and was pointed in the direction of local eateries. On my return, \nas I was tired, I went straight to bed, after asking for a very early breakfast.\n\nThe bed was SO comfortable that I fell straight asleep and even overslept as I only woke at the time I asked for my breakfast!\n\nLovely breakfact exactly as I wanted.\n\nAll in all, I really enjoyed my stay! Thanks!",4,positive
chip core only\ca\190801\1137294\104454013.html,Bear Hotel,"""We always stay here when we visit Chippenham annually in April. This year it was in new hands again! It has undergone renovation over the past 12 months. We had our usual large room, which had been re-arranged, but it was as comfortable & well appointed as ever. Tea, coffee & hot chocolate making facilities together with a good selection of sweet biscuits were provided in the room & the bathroom toiletries were of a good quality. The large bath\u002Fshower provided ample well heated water, the towels were sumptuous & the large four poster bed extremely comfortable. The new hosts are charming, efficient & extremely friendly, & if you can eat all the provided cooked breakfast you have an excellent appetite! The location of the Inn is perfect. Cannot be too highly recommended.",4,positive
chip core only\ca\190801\1137294\116224953.html,Bear Hotel,"""my stay at the bear was the most enjoyable i have ever had. the landlord an landlady made my family most welcome. the room was fantastic all mod cons. this hotel is one that i will be recommending to all my friends and family",5,positive
chip core only\ca\190801\1137294\118563633.html,Bear Hotel,"""This is a run down old pub.\n\nThe bedroom is clean and freshly painted however  room no 2 is up several flights of steep narrow stairs. There is no lift.\n\nWe did an about turn and did not stay, forfeiting our room cost of UKPDS 80. We went to the Premier Inn with a sense of relief.",1,negative
chip core only\ca\190801\1137294\172523178.html,Bear Hotel,"""Although the rating is low the reasons for it isn't because of anything any of the staff did wrong, they were awesome.\nThis is a small bar\\hotel at the bottom of the square in the market part in the town. All the staff and locals were great. We enjoyed it so much we stopped by for another visit on our way back through town.\n\nThe issues with the place is not anything to do with service. Some money needs to be put into it to make this place shine. The rooms have been updated. The steps are steep but worth the climb. The rates are very good also. \n\nThe business merely needs its brewery to see the potential and put in the necessary funding in to really put it on the map.\n\nThe management are working very hard to push this but if they get their way this would be a brilliant stop for some friendly service.",3,negative
chip core only\ca\190801\1137294\198091961.html,Bear Hotel,"""Due to the nature of my job I have stayed in many hotels , but have never been made more welcome than my recent stay at the Bear Hotel , all the staff made my stay special . The rooms are very clean and tidy , and well equipped with all that you would expect in a hotel.  ( tea facility, en suite bath\u002Fshower room ,TV etc) whenever I am working in the general area I will endeavour to stay here again . Very pleased !!!!",5,positive
chip core only\ca\190801\1137294\198176394.html,Bear Hotel,"""avoid at all costs..   prebooked and paid for this hotel other wise would have run away..  filthy bed.. stains on the sheets , greasy stains on the bedding .. asked for it to be changed ,, it would take two hours...  \n\nno food in hotel so went out to find some..  \n\ncame back , no atmosphere in the pub so decided to have an early night..and enjoy the spa bath.\n\nspa bath started smoking and smoke alarms didn't go off..!!!\n\ngetting really frightened of the  place by now..  realised how shabby it all was..\n\nwent out next morning .. and came back in the evening to find the pub shut and land lady and a member of staff were arguing in a private room.. locked ourselves in ours .. got woke up during the night by barking dog...\n\ncouldn't wait to leave ...  never again",1,negative
chip core only\ca\190801\1137294\199844102.html,Bear Hotel,"""If you want to stay in a Hotel where they don't make the bed or clean the room for the whole week and when leaving the room you find the owners dog has relieved its bowels 3 times along the corridor, then this is the place for you!!!",1,negative
chip core only\ca\190801\1137294\204563639.html,Bear Hotel,"""Bed lovely, bathroom not clean. The room was very nice and the bed and bedding lovely. A lovely hotel if a bit extra time was spent cleaning and for visitor needs (like tv and soap in the shower soap holder). The landlord waited for me to arrive to show me to my room and was very friendly and kind. The pub had been flooded which was a shame for them and I wasn't able to experience the hotel as a pub. The TV areal wasn't working properly. No wifi and a lot of long black hairs in the bathroom.",3,negative
chip core only\ca\190801\1137294\204593478.html,Bear Hotel,"""Didnt stay in the rooms, just visited the place again,  see if its improved.  Not atall,  New landlords would definatly be advantageous to this business.  Also the Building itself needs looking after by somebody that can put some money in to it.  It has pride of position right at the top of the high street looking over the town.  Chippenham folk should be proud of it, but The condition of the building and the people running it need vast improvement. ",1,negative
chip core only\ca\190801\1137294\247342286.html,Bear Hotel,"""As a professional Dj I see fights, drug dealers and occasionally public sexual displays most weeks. It could not prepare me for this place! I walked in last night for a drink at their bar with the intention of finding somewhere that my family can stay when visiting me. Upon sitting at the bar I instantly had some intoxicated dregs of the planet throwing abuse at me, one gentleman decided he was going to attack me. Fortunately (for him) the land lord told me the bar was closed and asked me to leave. I asked the land lord if I had done something wrong, and the answer was no. The owner is literally Intimidated by his rough as hell customers to the extent that he will remove a you professional with a pocket full of cash for some angry drunk, no wonder he has not pumped any money into the place since the 70s. On the plus side I am sure you can rent a room by the hour, then again why use a room? Why not just use the loo ? It's probably cleaner. Avoid like the plague, you are more likely to survive Ebola.",1,negative
chip core only\ca\190801\1137294\255356719.html,Bear Hotel,"""We arrived at 10am after pre arranging this would be accepted, the manager opened the doors for us to park then showed us to our room. We were pleasantly surprised how lovely the room was and how spotlessly clean also, we didn't stay overnight as we only wanted a room to rest after a long journey down from Hull before a family party, we both slept very well and the shower was hot and refreshing allowing us to be totally ready for our evening",3,negative
chip core only\ca\190801\1137294\262897965.html,Bear Hotel,"""Really really think before you arrange to stay here. We booked via hotels.com and choose chippenham as it was cheaper than staying in bath. However, when we rang to say we were going to arrive late we got a voice mail telling us to leave a message. They didn't think we were going to show so didn't get the message. When we arrived there were paramedic attending to a drunk outside the hotel, still lying in a pool of his own vomit. The bear is a pub down stairs but they'd shut up shop for the evening even though it was only just gone 10.30. The staff didn't have a clue, when I asked for a receipt she wrote a note on a scrap of paper and told me that was the best she could give me. We were in room 3 which is pictured on the website. I'd hoped we got that room cause it didn't look that bad in the picture, however bedding all faded. But clean! When I opened the curtains they came off the rails, the bathroom stunk, the shower was hot thou. The wood trim in the bath room was all rotten. You could feel the springs in the bed, and the towels looked like they'd been washed with other colours and definitely not ironed. Just nothing in there was hotel even budget hotel standard. There was no one there I. The morning to give the keys back to either. All in all it was clean in the room and that's it. The whole place was tired... even buckets in the hallways to catch leaks. Wasn't particularly warm either. That's said we were only staying one night and there's a irish cafe around the corner that does a great breakfast ",1,negative
chip core only\ca\190801\1137294\275245438.html,Bear Hotel,"""We stayed at the Bear Hotel for 5 NIGHTS over the folk festival and have rebooked for next year.  The location is superb.  Dave the new manager is working very hard to raise the standard offered for his customers and could not be more helpful and obliging.  We stayed in Room 4 with the four poster and Jacuzzi.  The room was very spacious as were the other rooms we took at peek at and there was plenty of hanging and drawer space.  Yes the plumbing does make a noise \u2013 the building is very old and general maintenance has been lacking for years.  The extractor fan for the kitchen was annoying, that is until we mentioned it to Dave who ensured it was turned off when were ready for bed.  Parking available for 3 cars on a first come first served basis.  Breakfast was prompt and plentiful. The room was serviced when requested.\nThere are no liveried lackeys providing 4 star service at the Bear, just a good honest team trying their best.",3,negative
chip core only\ca\190801\1137294\281447294.html,Bear Hotel,"""We stayed at the Bear Hotel for 1 night after a trip to jersey and travelling back to Manchester , I phoned the hotel a couple of weeks before to let them know we would be arriving after 10 and would this be ok .\n\nHowever it was a bit later and we arrived to a 25th anniversary party in full swing .\n\nThe manager moved his car so we could park ours and was very helpfull.\n\nThe room was nice and comfortable and even though there was a party down stairs it wasnt to loud, there was a bit of a commotion outside and some fighting but it was quite after a while.\n\nThe next morning though there was no one around to give the keys back to and there was another couple who didn't know what to do either , so we just had to leave them on the bar .\n\nBut overall we had a good nights rest and we would stay there again ",4,positive
chip core only\ca\190801\1137294\305084006.html,Bear Hotel,"""why oh why didn't I read these reviews before booking this awful hotel.  It was so horrible we left after half an hour.  It is dirty, smells and there were young children running around.  Close it down until there are new tenants and it's been totally refurbished.  It could be so beautiful.",1,negative
chip core only\ca\190801\1137294\307683985.html,Bear Hotel,"""We wanted to stay in Chippenham for one night. We just wanted somewhere to lay our heads, sleep in a bed with clean sheets and have an ensuite that was also clean with accommodating staff and this is what we got. The current couple running the place have only been here a few months. The hotel needs a lot of money spent on it. The roof is being repaired, the bar and lounge need decorating and the whole place, we are told, needs re wireing. To my disappointment they do not sell real ale as they do not have enough people in the place. I can understand someone walking in and out in a few minutes but this is a Grade 2 listed building that could be magnificent. We were one of three couples staying. No it's not the Ritz but you don't pay Ritz prices, if you just want to stay one night in Chippenham this will do the job.",3,negative
chip core only\ca\190801\1137294\321717660.html,Bear Hotel,"""Took a trip down to the southwest of England, hadn't booked anywhere to stay, thinking it's Thursday its September it won't be that busy. We pulled off the M4 at Chippenham thinking we'll easily find a place to stay, wrong! The only place with a vacancy was The Bear Hotel. We had no previous knowledge of the place, and we hadn't researched it on TripAdvisor. Manageress told us we'd have to park on the street,  not ideal for a hotel in the centre of town. I took 1 look at the inhabitants of the bar and decided I'm not drinking here. The place was a tip, unbelievable it's still allowed to be open as a hotel. No food, no breakfast, and in all honesty I'm glad, I really wouldn't of wanted to sit on any of the chairs, let alone eat anything they had cooked. This place needs closing down and a top to bottom refurb with decient management.",1,negative
chip core only\ca\190801\1137294\322501876.html,Bear Hotel,"""Warm and friendly hotel very welcoming couple running the place they both deserve more credit than they getting on here (tie your own shoe laces lol) I really enjoyed my stay and will be coming back thank you",5,positive
chip core only\ca\190801\1137294\325563940.html,Bear Hotel,"""Walked into bear hotel asked if they had any rooms yea the guy says but don't do breakfast for \u00A365 that was bad. Didn't look to good in bar area never mind the rooms I said no it's ok mate. Never see me there no way. Drove 3mile down road got a lovely place to stay.. So bear hotel get that place decorated and move all the bedding from the bar area !!!!!",1,negative
chip core only\ca\190801\1137294\361564287.html,Bear Hotel,"""I stayed here with my boyfriend and another couple and it was honestly the worst hotel all four of us had ever stayed in. The hosts were friendly and couldn't do enough for you upon arrival. They met us outside and directed us to the hotel car park (which was more of a garage..) and even provided us with an iron when we asked. However, not the ironing board to go with it. \nWe were shown to our rooms, which where filthy. The carpet hadn't been hovered, there was crumbs all over it. The carpets were so dirty that after having a shower our feet were covered in dirt just by walking out of the bathroom and into the bedroom. The room hadn't been polished, there was dust on the mirrors, tv and window seal. The bed linen was dirty and the mattress was broken. The bed frame was on uneven ground so when you sat on the bed you slid down it. The kettle on the room was covered in lime scale so couldn't even make ourselves a cup of tea after a long drive. The bathroom toilet wasn't fixed to the floor , it was wobbly every time you flushed or used the taps. It sounded like a jumbo jet was taking off. This wasn't only in our room but our friends had the same problem.  We returned to the hotel later that night around 11pm. Our room over looked a little town square, with pubs and shops. There was a fight outside our bedroom window which lasted a good half an hour before the police arrived. The next morning we left around 11am. There was half naked children who lived there, running around in their pyjamas screaming in the foyer and running around outside people's rooms screaming \""I need a poo!\"". We couldn't wait to leave! Such a shame because it's a great location for what we wanted and with a lick of paint and a renovation it could be a beautiful hotel. Not worth the \u00A365 we were charged per couple. More like a luxury hostel than a hotel..... ",1,negative
chip core only\ca\190801\1137294\381198115.html,Bear Hotel,"""Booked in for one night as attending a celebration and didn't want to travel home late.  The room was very nice, great view down the main street, nicely decorated and large and airy room.\nTina and Gary the hosts - were lovely people, very friendly, very helpful - and couldn't do more. I would certainly recommend this hotel and the hosts.",5,positive
chip core only\ca\190801\1137294\387866558.html,Bear Hotel,"""Called in on a Monday evening and there was a warm welcome from the waitress.\n\nTable service for drinks and food.  The drinks were quickly delivered to the table - as was the food.  We were both very pleased with our choices, which were freshly cooked, tasty and nicely presented.\n\nWill use The Bear if in the area again.",4,positive
chip core only\ca\190801\1137294\393199210.html,Bear Hotel,"""I was quite apprehensive about booking this hotel after reading some of the reviews on trip advisor and I am so glad I ignored them.\n\nWe arrived on Saturday 9th by a lovely lady who I think was the owner, she checked us in nice and quickly and showed us to our room. On the way up we were discussing the hotel and she said it's due to close soon for a renovation. Completely understandable as it's a very old building!\n\nWe checked into room 4. It was lovely and spacious and most importantly it was clean! The bathroom was absolutely spotless. Towels were lovely and big and the little sachets of shampoo and shower gel were a nice touch. The shower was lovely and powerful as well as nice and hot. \n\nUnfortunately we didn't get to thank the owner as we checked out rather early Sunday morning and the building was locked up - Can you blame the owners having a lay in? I certainly would if I had to run a hotel.\n\nMassive thank you to the Bear Hotel for being so accommodating. Will definitely return.",4,positive
chip core only\ca\190801\1137294\403223528.html,Bear Hotel,"""My partner and I were a little apprehensive about staying here after reading previous reviews on TripAdvisor, however, after staying here for a night last week, we're really not sure what everyone is winging about. \n\nOur hotel room was very spacious and comfortable with a lovely view of the high street. As we walked into the hotel we were a little worried by the music playing in the pub downstairs, however once we were up in our room, we couldn't hear it at all. We returned later that night after going for a meal at around 10.30 and the pub was shut and all music was off, so there were definitely no disturbances during the night.  \n\nBoth the en-suit bathroom and the bedroom were clearly very clean - we also had plenty of complimentary tea\u002Fcoffee and toiletries in the bathroom, a lovely touch. The room did smell a little like an old pub, but that's exactly what was expected, we knew we were booked to stay at an old pub. The owner did also inform us that she was waiting for renovations which I'm sure will be lovely once finished. \n\nI found the staff incredibly polite and helpful, we were asked several times whether everything was okay with us, there would have been plenty of opportunity to mention should we have had a problem. I really find a lot of the other reviews on this site incredibly unfair - if you do not mention to the staff that you have a problem, how do you expect them to help you? \n\nThe only reason I'm giving this hotel 4 stars rather than 5 is simply because we do believe it was too expensive for what it is. We paid \u00A365 for the night via LateRooms. Although the hotel was in an excellent location in the town centre with links to Bath\u002FBristol\u002FLondon, the hotel itself was pretty basic in terms of decor and for \u00A365 I would have expected breakfast to be included. \n\nOverall, a very comfortable stay.",4,positive
chip core only\ca\190801\1137294\487570185.html,Bear Hotel,"""We didn't actually stay in this hotel & I'm sure you'll understand why if you went there.\nIt's a very old beautiful building but so run down & clearly very much in need of some TLC, such a shame it's fallen into this state but on the flip side the couple running or should I say looking after it are great, very friendly & helpful & could do with another pub that is thriving as they deserve it & pretty sure that they are just looking after it for some greedy pub company!! \nThe beer is really good & the wine not so bad but that really is as good as it gets!! Shame.",2,negative
chip core only\ca\190801\1137294\490314516.html,Bear Hotel,"""What a shame such an imposing building is in need of so much repair and renovation. We stayed there last night and were welcomed by a friendly lady who showed us to our room up many stairs. Not for those with a disability. The beds were very comfortable and the bathroom big and plenty of hot water for a bath. A shame they don't have any catering facilities. Come on brewery restore this old building to somewhere to be proud of.",3,negative
chip core only\ca\190801\1137294\536953275.html,Bear Hotel,"""rude management in this place and so unhappy , also always drinking while working , badly kept drinks an very dirty , the toilets look and smell like they have not been cleaned in a long time , the hotel rooms are very grim aswell , the sort of place you need to have a good shower after you leave.",1,negative
chip core only\ca\190801\1137294\545894604.html,Bear Hotel,"""The room was large, the bed was comfortable and clean, the room was en-suite, water was piping hot (straight away), the radiators worked and there were brew making facilities in the room with a proper sized mug! \n\nYes the place needs a lot of work, but honestly having stayed in a number of town pub\u002Fhotels across the country they are all generally tired and in need of a face lift. With a face lift this place would have got an easy 4 stars.\n\nAt the end of the day, what do you want from the place. It is not a fancy place, it is functional and as a place to stay I have no complaints considering the room is only \u00A365 - half the price of the best western on the other side of the square. \n\nParking has been mentioned a number of times and yes that is a negative, but there is a car park around the corner free from 1800 - 0800. (I do have to add has anyone managed to book a hotel in the centre of Bath with a (free) car park? It's not easy.)\n\nThe caretaker managers are very friendly and approachable, I had a drink with them in the bar and they were very clear any problems come and let us know and we will do our best to sort it out.\n\nWould I stay again? Yes absolutely. Is a romantic destination? No possibly not.",3,negative
chip core only\ca\190801\1137294\555359805.html,Bear Hotel,"""The Bear is badly in need of refurbishment but the brewery are waiting for the right tennant to take it over.   The people there are very friendly.  The bedroom was basic but had averything required.   Plenty of hot water.\nNo breakfast is available and they currently don't do food on site",3,negative
chip core only\ca\190801\1137294\606176365.html,Bear Hotel,"""TV was tiny and was susceptible to interference. \nWiFi didn't work at all. \nOne of our rooms had a broken bed.\nThe hotel and bar were extremely bare and not very warm to the eye. \nIt was clean though and tea facilities were updated with the wash elements every day.\nStaff were friendly and it's situated in a central location.",3,negative
chip core only\ca\190801\1137294\606462699.html,Bear Hotel,"""Stayed for two nights with hubby, father in law and 7m old daughter. \nApparently its undergoing a several hundred thousand pound refurb...but i didn't see any benefit. \nRoom two bed is broken, very soft matress and sags in the middle so slept very badly.  Room, bar and stairwell very tired and many years overdue a refurb. Rooms are up 3 flights of stairs and there is no breakfast option. Neither good with a baby in tow but F-i-L probably not aware of the stair issue when booking. \nNo staff on site outside pub hours so complained about our bed the following lunchtime and we were moved to room 3, which was also dated but more importantly had a functioning bed so i could sleep. There was a big damp patch on the carpet next to the bathroom.\nThis is an old building but with the right investment it could be nice. In my opinion they would be better closing to renovate than doing a half hearted job.\nHowever, despite the accommodation being terrible, the bar manager was very helpful and accommodating. When i arrived my husband and father in law were out so he left the bar to help me carry everything to our room and moved everything over the next day after i complained about the bed. Thank you for that \u263A",2,negative
chip core only\ca\190801\1137294\619722705.html,Bear Hotel,"""When I rang to book a room for one of my staff I was quoted \u00A345 but when he stayed there he was charged \u00A360 and when I disputed this over the phone I was fobbed off. Apart from this I have been told by my employee that the place was not of a very good standard and in his opinion not worth what he had to pay",1,negative
